INFO:root:Batch 0
INFO:root:Downloaded 31_149_3
INFO:root:Downloaded 31_149_10
INFO:root:Downloaded 31_149_9
INFO:root:Downloaded 31_149_8
INFO:root:Downloaded 31_149_6
INFO:root:Downloaded 31_149_5
INFO:root:Downloaded 31_149_4
INFO:root:Downloaded 31_149_2
INFO:root:Downloaded 31_149_1
INFO:root:Downloaded 31_149_7
INFO:root:Parsing 31_149_1
INFO:root:Done page 3
INFO:root:Done page 6
INFO:root:Done page 9
INFO:root:Done page 12
INFO:root:Done page 4
INFO:root:Done page 7
INFO:root:Done page 10
INFO:root:Done page 13
INFO:root:Done page 5
INFO:root:Done page 8
INFO:root:Done page 11
INFO:root:Done page 14
INFO:root:Done page 24
INFO:root:Done page 15
INFO:root:Done page 18
INFO:root:Done page 21
INFO:root:Done page 19
INFO:root:Done page 25
INFO:root:Done page 16
INFO:root:Done page 22
INFO:root:Done page 20
INFO:root:Done page 26
INFO:root:Done page 17
INFO:root:Done page 27
INFO:root:Done page 23
INFO:root:Done page 30
INFO:root:Done page 33
INFO:root:Done page 28
INFO:root:Done page 31
INFO:root:Done page 36
INFO:root:Done page 34
INFO:root:Done page 29
INFO:root:Done page 32
INFO:root:Done page 37
INFO:root:Done page 35
INFO:root:Done page 42
INFO:root:Done page 43
INFO:root:Done page 38
INFO:root:Done page 39
INFO:root:Done page 40
INFO:root:Done page 41
